stat_id,send_de,tbl_id,rec_tbl_se,org_id,vw_nm,tbl_nm,vw_cd
2025032,2026-02-13,DT_712005_2024D001,N,712,국내통계 주제별,성별 등록사업체,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024D002,N,712,국내통계 주제별,조직형태별 등록사업체,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024D003,N,712,국내통계 주제별,조직형태별 신규 등록사업체,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024D004,N,712,국내통계 주제별,사업자 등록 상태,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024D005,N,712,국내통계 주제별,업종별 등록사업체,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024D006,N,712,국내통계 주제별,업종별 신규 등록사업체,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024D007,N,712,국내통계 주제별,업종별 폐업 등록사업체,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024D008,N,712,국내통계 주제별,최근 3년간 업종별 증가사업체,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024D009,N,712,국내통계 주제별,최근 3년간 업종별 감소사업체,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024D010,N,712,국내통계 주제별,지역별 등록사업자,MT_ZTITLE
