stat_id,send_de,tbl_id,rec_tbl_se,org_id,vw_nm,tbl_nm,vw_cd
2025032,2026-02-13,DT_712005_2024C001,N,712,국내통계 주제별,청년 경제활동,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024C002,N,712,국내통계 주제별,취업자의 종사산업,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024C003,N,712,국내통계 주제별,취업자의 종사직업,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024C004,N,712,국내통계 주제별,취업자의 종사상 지위,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024C005,N,712,국내통계 주제별,취업자의 월평균 임금,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024C006,N,712,국내통계 주제별,취업자의 근무지 현황,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024C007,N,712,국내통계 주제별,분기별 구직신청건수,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024C008,N,712,국내통계 주제별,학력별 구직신청건수,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024C009,N,712,국내통계 주제별,구직희망 고용형태,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024C010,N,712,국내통계 주제별,구직희망 직종,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024C011,N,712,국내통계 주제별,구직희망 직종 경력 여부,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024C012,N,712,국내통계 주제별,구직희망 근무 지역,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024C013,N,712,국내통계 주제별,구직희망 월평균 임금금액,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024C014,N,712,국내통계 주제별,근속연수별 고용보험 피보험자,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024C015,N,712,국내통계 주제별,종사산업별 고용보험 피보험자,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024C016,N,712,국내통계 주제별,고용보험 자격 취득·상실자,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024C017,N,712,국내통계 주제별,고용보험 실업급여 수급,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024C018,N,712,국내통계 주제별,실업자 훈련생 수,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024C019,N,712,국내통계 주제별,모성보호 현황,MT_ZTITLE
